ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,In stock?,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _wp_page_template,Meta: shopengine_product_views_count,Meta: ekit_post_views_count,Meta: _last_editor_used_jetpack,Meta: video_product,Meta: view_product,Meta: bwp_ids,Meta: _yoast_wpseo_content_score,Meta: _yoast_wpseo_estimated-reading-time-minutes,Meta: _yoast_wpseo_primary_product_brand
30738,simple,488dbba1c475,Dior - Ladies Watch - 19mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,550,1640,"Ladies, Watches",Women,,"https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_2d0a333b851b47689f2d408034951353mv2-1.jpg, https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_a535257e21274a5bb15a133fe196c0b8mv2.jpg",,,,,,,,,0,default,,,,,,,,,
30742,simple,e29d094f3273,Dior - Ladies Watch - 19mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,550,1640,"Ladies, Watches",Women,,"https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_cd400ca7c91c4a9db8b8524b191a29e6mv2.jpg, https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_65565189a7d243a9961cfbed1e079332mv2.jpg",,,,,,,,,0,default,,,,,,,,,
30745,simple,ac91a4fd063a,Dior - Ladies Watch - 19mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,550,1640,"Ladies, Watches",Women,,"https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_5d3f8a83a1444c34b44f66ea800b6edfmv2.jpg, https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_7b40afe9518b46558a6a53ade92e1d06mv2.jpg",,,,,,,,,0,default,,,,,,,,,
30748,simple,7c05a14d2827,Aigner - Men Watch - 42x44mm,1,0,hidden,,,,,none,,5,5,,0,0,,,,,0,,210,300,"Men, Watches",Men,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_eb826874c6f04a56bc99377e957af75dmv2.jpg,,,,,,,,,0,default,,2,,,,,,,
30750,simple,67ca7dff5e34,Aigner - Men Watch - 45mm,1,0,hidden,,,,,none,,5,5,,0,0,,,,,0,,260,510,"Men, Watches",Men,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_b1552eaa458c443f8c5bf2a94227710bmv2.jpg,,,,,,,,,0,default,,2,,,,,,,
30752,simple,db09764934cc,Aigner - Ladies Watch - 32mm,1,0,hidden,,,,,none,,5,5,,0,0,,,,,0,,230,450,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_eda77171ede1401abddaca65610d233bmv2.jpg,,,,,,,,,0,default,,8,,,,,,,
30754,simple,01a3ba89a604,Aigner - Ladies Watch - 32mm,1,0,hidden,,,,,none,,5,5,,0,0,,,,,0,,180,300,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_bdb990d42c3b4b25a7ee6b2345056c7bmv2.jpg,,,,,,,,,0,default,,5,,,,,,,
30756,simple,53435a88c5e7,Aigner - Ladies Watch - 26.5mm x 29mm,1,0,hidden,,,,,none,,5,5,,0,0,,,,,0,,180,290,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_9c44c879e3f145e0b668dc68f243fea4mv2.jpg,,,,,,,,,0,default,1,30,,,,,,,
30758,simple,ba35e0c725be,Aigner - Ladies Watch - 36mm,1,0,hidden,,,,,none,,5,5,,0,0,,,,,0,,290,600,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_01d0d933acf646d1a47f78ce93755c0bmv2.jpg,,,,,,,,,0,default,,2,,,,,,,
30760,simple,90a828a552b3,Aigner - Ladies Watch - 34mm,1,0,hidden,,,,,none,,5,5,,0,0,,,,,0,,240,380,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_49e8148b8ca442c88fd6ec60c77aa007mv2.jpg,,,,,,,,,0,default,,,,,,,,,
30762,simple,48bf2dfa38ac,Aigner - Ladies Watch - 32mm,1,0,hidden,,,,,none,,5,5,,0,0,,,,,0,,185,510,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_6d9a5a19b5604fae8dddaa9d5b304964mv2.jpg,,,,,,,,,0,default,1,5,,,,,,,
30764,simple,44f7fd66f08f,Montblanc - Pen,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,95,127,"Ladies, Men, Pens",Unisex,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_6e54201d610347988f85b69a7f602a60mv2.jpg,,,,,,,,,0,default,,,,,,,,,
30766,simple,901da7fe597b,Charriol - Ladies Watch - 30mm,1,0,hidden,,,,,none,,5,5,,0,0,,,,,0,,345,835,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_51857f86312f4a79b35863ef98f7450cmv2.jpg,,,,,,,,,0,default,,,,,,,,,
30769,simple,fb9f91ecbb8e,Rado - Ladies Watch - 28mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,335,395,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_c5da86d973554befa3dc2a1881a9c18amv2.jpg,,,,,,,,,0,default,,,,,,,,,
